variant,injury_bucket,position,n_players,mae,rmse,mean_bias,spearman,top12_hit,top24_hit,top36_hit,cov_50,cov_80
v1_no_reg,all,ALL,422.3333333333333,45.219456530211666,62.30324060971807,6.110651104647094,0.7309886542902219,0.3055555555555556,0.3888888888888889,0.48148148148148145,0.5457604007828251,0.8274627897152582
v2_deeper,all,ALL,499.3333333333333,46.1060672918696,63.875611800080044,-4.959058707762861,0.6919816326784307,0.2222222222222222,0.25,0.28703703703703703,0.46290769955586986,0.8032203956469047
v2_default,all,ALL,499.3333333333333,45.60837737981567,63.688521908949326,-5.658417806260147,0.6996377767102301,0.25,0.2638888888888889,0.3148148148148148,0.4816262119959022,0.8071059604247552
v2_more_iter,all,ALL,499.3333333333333,45.834759451126935,63.92481568203644,-5.386239895155234,0.6977297037677669,0.25,0.2638888888888889,0.3148148148148148,0.47348709948810747,0.8022651107305704
v2_shallower,all,ALL,499.3333333333333,44.43261381341236,62.740762358813605,-6.691824019699094,0.7078408852002868,0.25,0.23611111111111108,0.2962962962962963,0.480591525632595,0.8076482356607583
v1_no_reg,all,QB,52.333333333333336,70.80214813177592,90.93842880660607,10.906445549591735,0.6940343697350203,0.5,0.763888888888889,0.8425925925925926,0.47120428604705333,0.7716142557651992
v2_deeper,all,QB,69.66666666666667,73.00539785872195,94.52997930131706,1.1791750124768365,0.6820678740970386,0.3611111111111111,0.5,0.5462962962962963,0.34907894084395297,0.6921228574734303
v2_default,all,QB,69.66666666666667,73.28491055173151,95.512570162366,-0.1547809281643134,0.6743293449451678,0.3333333333333333,0.5,0.5462962962962963,0.32997595081073045,0.7020731062296491
v2_more_iter,all,QB,69.66666666666667,74.98364155966082,97.19651631242435,0.1694313596659276,0.6643639183116,0.3333333333333333,0.5,0.5462962962962963,0.3463021272375663,0.6901683443248872
v2_shallower,all,QB,69.66666666666667,72.02504878335226,94.4978197550356,-0.9577025203990291,0.6887654986030299,0.3611111111111111,0.5,0.5462962962962963,0.3701116510470901,0.7156224690500984
v1_no_reg,all,RB,112.33333333333333,50.412722200659715,68.73570158439695,8.733146708172223,0.6821609130109008,0.4166666666666667,0.6388888888888888,0.6759259259259259,0.5664196310935442,0.821085074345944
v2_deeper,all,RB,141.66666666666666,47.147573057367936,65.10961559173589,-6.906105744632875,0.6265616611303652,0.4444444444444445,0.6388888888888888,0.6203703703703703,0.5411361804995971,0.8134436993975672
v2_default,all,RB,141.66666666666666,46.5397373331814,64.20231957411022,-6.426768787911878,0.6374833302104679,0.4166666666666667,0.611111111111111,0.6111111111111112,0.557106644027474,0.8219768044203982
v2_more_iter,all,RB,141.66666666666666,46.51261554839544,64.28879896788014,-6.155486297273427,0.6428691999832682,0.4166666666666667,0.625,0.6018518518518519,0.5402402056713096,0.8057581251678755
v2_shallower,all,RB,141.66666666666666,45.18969767434316,64.13693669070456,-7.36193421720825,0.6548967752148206,0.4166666666666667,0.6111111111111112,0.6111111111111112,0.4965429665016692,0.8173621503395879
v1_no_reg,all,TE,89.0,28.982149647367958,39.867063823483896,0.34481560981987885,0.7482031174087226,0.5833333333333334,0.763888888888889,0.7314814814814815,0.5912773153348357,0.8561273333912277
v2_deeper,all,TE,89.0,30.132732383360132,41.52541765064675,-4.503027615015704,0.7303948239079986,0.5,0.7083333333333334,0.7314814814814815,0.45191898398272284,0.8466041882287509
v2_default,all,TE,89.0,29.46072637124898,41.037983829295804,-5.638983156677667,0.7526950288649109,0.5833333333333334,0.7638888888888888,0.7314814814814815,0.4903522870876155,0.845466232174355
v2_more_iter,all,TE,89.0,29.4131567629026,40.73280166281753,-5.345087764964223,0.7482137832406818,0.5555555555555556,0.7638888888888888,0.7222222222222222,0.4591662170364075,0.8236865695085672
v2_shallower,all,TE,89.0,28.740646856394715,39.89032785999796,-5.527676428741407,0.7577441623871968,0.5555555555555556,0.7777777777777778,0.7129629629629629,0.4985419641463171,0.8398675643137361
v1_no_reg,all,WR,168.66666666666666,42.264630702121025,55.61747554995126,5.966624895407058,0.7420300730290039,0.5555555555555556,0.6805555555555555,0.7407407407407408,0.5313767107850701,0.8346403826744982
v2_deeper,all,WR,199.0,43.06652401248699,56.66345454161808,-5.179997185585456,0.7117037720306353,0.3055555555555555,0.5277777777777778,0.6574074074074074,0.4476138234159506,0.82119909300852
v2_default,all,WR,199.0,42.47638719715844,56.49750800432138,-6.214815749912948,0.7173300619467647,0.3333333333333333,0.5972222222222222,0.6666666666666666,0.4749798824541835,0.8206330088342645
v2_more_iter,all,WR,199.0,42.46353515698107,56.12449658265248,-6.0169939771490215,0.7193965666703911,0.3055555555555555,0.5694444444444445,0.6851851851851851,0.4731406761939174,0.8330385960134966
v2_shallower,all,WR,199.0,41.195327757568045,54.847155843259564,-7.818138248550317,0.7286027113397164,0.3055555555555556,0.6111111111111112,0.6851851851851851,0.4995400456986854,0.8229282418923236
