variant,injury_bucket,position,n_players,mae,rmse,mean_bias,spearman,top12_hit,top24_hit,top36_hit,cov_50,cov_80
v1_no_reg,all,ALL,422.3333333333333,45.25195535241874,62.32036993246183,6.119520705050804,0.7310843682509854,0.2777777777777778,0.3888888888888889,0.48148148148148145,0.5433102512620916,0.8282776342077031
v2_phase1,all,ALL,499.3333333333333,44.22165402075509,63.10414240110575,-6.388388019704841,0.7124089776687335,0.25,0.2916666666666667,0.3703703703703704,0.49805310095143945,0.8114432827890597
v2_phase2_all,all,ALL,499.3333333333333,43.479945584462506,61.63001906450972,-3.5761077097998197,0.7169124499814643,0.25,0.3333333333333333,0.3611111111111111,0.46954348614471625,0.7846868763627121
v2_phase2_no_draft,all,ALL,499.3333333333333,43.564921995200045,62.247194782513844,-4.48417273002996,0.7164871591681247,0.22222222222222224,0.3333333333333333,0.35185185185185186,0.4671148279783532,0.7744575513023744
v2_phase2_no_ngs,all,ALL,499.3333333333333,44.011864809191934,62.55653758823009,-5.393300482583804,0.7162711216493985,0.2222222222222222,0.2916666666666667,0.3703703703703704,0.48137400856910184,0.8135330311485279
v2_phase2_no_snap,all,ALL,499.3333333333333,43.86849271185762,62.33107810631827,-3.6150612105071276,0.7165128419196135,0.19444444444444442,0.3055555555555555,0.3703703703703704,0.4659004988951716,0.7740963602278983
v1_no_reg,all,QB,52.333333333333336,70.93138585706618,91.09219028495828,10.698090104941295,0.6919019749766596,0.5,0.763888888888889,0.8425925925925926,0.47120428604705333,0.7649475890985324
v2_phase1,all,QB,69.66666666666667,73.10825737171085,97.22694043740559,0.457154276518651,0.6847074860894725,0.38888888888888884,0.5277777777777778,0.5370370370370371,0.37786358903158623,0.6749991735673792
v2_phase2_all,all,QB,69.66666666666667,71.87696759739033,94.4483622463102,-2.512996038974982,0.6774654406072341,0.3333333333333333,0.5277777777777778,0.5277777777777778,0.3550974364060098,0.6463694814961737
v2_phase2_no_draft,all,QB,69.66666666666667,72.41344426231986,96.1680536609614,-3.20755711035731,0.6732346385150904,0.27777777777777773,0.5555555555555555,0.5185185185185185,0.35796309151914846,0.6213719607940366
v2_phase2_no_ngs,all,QB,69.66666666666667,72.65285529981132,96.15094051027852,-0.1530516325865796,0.6893934669575428,0.3055555555555556,0.5277777777777778,0.5185185185185185,0.3609837027487149,0.7160542800945439
v2_phase2_no_snap,all,QB,69.66666666666667,72.89937951711609,95.72160711113811,0.5776539484106956,0.6796745070152145,0.3055555555555555,0.5277777777777778,0.5092592592592592,0.3102304094147204,0.5896886001884266
v1_no_reg,all,RB,112.33333333333333,50.39235077708767,68.71141963069873,8.779097772108244,0.6836188225374031,0.4166666666666667,0.6388888888888888,0.6759259259259259,0.5693958215697346,0.821085074345944
v2_phase1,all,RB,141.66666666666666,44.86746029602133,64.17478792943582,-8.304735793480205,0.6724892688535794,0.47222222222222227,0.5972222222222222,0.6203703703703703,0.5663349929012701,0.82817836038525
v2_phase2_all,all,RB,141.66666666666666,42.84784955025926,61.77200475175548,-3.581306967262954,0.6893745502330018,0.5,0.625,0.6296296296296297,0.5095012662599286,0.8004957119834235
v2_phase2_no_draft,all,RB,141.66666666666666,42.30243040423981,61.63386813059162,-4.807293634108824,0.6868077103547686,0.5277777777777778,0.625,0.6481481481481481,0.5259897452131538,0.7725432638808948
v2_phase2_no_ngs,all,RB,141.66666666666666,44.01045861195627,62.69908854946192,-7.0126117812986095,0.6912840459162125,0.5,0.6111111111111112,0.648148148148148,0.526038189248302,0.8167628352710947
v2_phase2_no_snap,all,RB,141.66666666666666,42.93468172093719,62.23161601259584,-3.6883525563089328,0.6899980681691438,0.5,0.625,0.6388888888888888,0.5558957829707225,0.7893984306051188
