anchor_season,position,n,cov_50,cov_80,realized_median,predicted_median_p50
,ALL,1128,0.8652482269503546,0.9485815602836879,0.0,0.0
2017,ALL,552,0.8605072463768116,0.9510869565217391,0.0,0.0
2017,QB,73,0.726027397260274,0.8904109589041096,0.0,0.0
2017,RB,142,0.8591549295774648,0.9507042253521126,0.0,0.0
2017,TE,123,0.8861788617886179,0.943089430894309,0.0,0.0
2017,WR,214,0.8925233644859814,0.9766355140186916,0.0,0.0
2018,ALL,576,0.8697916666666666,0.9461805555555556,0.0,0.0
2018,QB,72,0.75,0.8333333333333334,0.0,0.0
2018,RB,148,0.8851351351351351,0.9662162162162162,0.0,0.0
2018,TE,128,0.859375,0.9140625,0.0,0.0
2018,WR,228,0.9035087719298246,0.9868421052631579,0.0,0.0
